Data,H,|I|,Out-Acc,In-Acc,Sol-Time,Gap,ObjVal,# CB,User Cuts,Cuts/CB,CB-Time,INT-CB-Time,FRAC-CB-Time,CB-Eps,Model,Time Limit,Rand. State,% Fixed,Calibration,CC,Single Feature Use,Level Tree,Max Features,Super Feature
soybean-small_enc,5,23,1.0,1.0,0.17908787727355957,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,22,False
soybean-small_enc,5,23,1.0,1.0,0.15253210067749023,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,23,False
soybean-small_enc,5,23,0.7916666666666666,1.0,0.1541450023651123,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,24,False
soybean-small_enc,5,23,0.7083333333333334,1.0,0.15944814682006836,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,25,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.152878999710083,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,26,False
soybean-small_enc,5,23,0.9583333333333334,1.0,0.1720719337463379,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,27,False
soybean-small_enc,5,23,0.7083333333333334,1.0,0.15271902084350586,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,28,False
soybean-small_enc,5,23,0.8333333333333334,1.0,0.15706801414489746,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,29,False
soybean-small_enc,5,23,0.75,1.0,0.1907939910888672,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,30,False
soybean-small_enc,5,23,0.8333333333333334,1.0,0.18387079238891602,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,31,False
soybean-small_enc,5,23,0.5,0.6521739130434783,0.20144987106323242,0.0,15.0,0,0,0,0,0,0,0,MCF2,3600,138,0,False,False,False,None,1,False
soybean-small_enc,5,23,0.7083333333333334,0.8695652173913043,1.4109439849853516,0.0,20.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,2,False
soybean-small_enc,5,23,1.0,1.0,0.3918449878692627,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,3,False
soybean-small_enc,5,23,1.0,1.0,0.36535191535949707,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,4,False
soybean-small_enc,5,23,1.0,1.0,0.46421003341674805,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,5,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.3326561450958252,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,6,False
soybean-small_enc,5,23,1.0,1.0,0.36176395416259766,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,7,False
soybean-small_enc,5,23,1.0,1.0,0.39966702461242676,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,8,False
soybean-small_enc,5,23,1.0,1.0,0.38202810287475586,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,9,False
soybean-small_enc,5,23,0.9583333333333334,1.0,0.38910603523254395,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,10,False
soybean-small_enc,5,23,0.9583333333333334,1.0,0.42397212982177734,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,11,False
soybean-small_enc,5,23,0.9583333333333334,1.0,0.3883960247039795,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,12,False
soybean-small_enc,5,23,0.9583333333333334,1.0,0.43931102752685547,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,13,False
soybean-small_enc,5,23,0.9583333333333334,1.0,0.4159128665924072,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,14,False
soybean-small_enc,5,23,1.0,1.0,0.41626787185668945,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,15,False
soybean-small_enc,5,23,1.0,1.0,0.3828010559082031,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,16,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.3747689723968506,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,17,False
soybean-small_enc,5,23,0.8333333333333334,1.0,0.41780900955200195,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,18,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.41193413734436035,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,19,False
soybean-small_enc,5,23,1.0,1.0,0.3926818370819092,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,20,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.4961080551147461,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,21,False
soybean-small_enc,5,23,1.0,1.0,0.42688703536987305,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,22,False
soybean-small_enc,5,23,1.0,1.0,0.49820899963378906,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,23,False
soybean-small_enc,5,23,1.0,1.0,0.4162099361419678,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,24,False
soybean-small_enc,5,23,0.6666666666666666,1.0,0.39745092391967773,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,25,False
soybean-small_enc,5,23,0.625,1.0,0.485382080078125,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,26,False
soybean-small_enc,5,23,0.75,1.0,0.40387415885925293,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,27,False
soybean-small_enc,5,23,0.8333333333333334,1.0,0.4191708564758301,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,28,False
soybean-small_enc,5,23,0.9583333333333334,1.0,0.3692939281463623,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,29,False
soybean-small_enc,5,23,0.875,1.0,0.365156888961792,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,30,False
soybean-small_enc,5,23,0.9583333333333334,1.0,0.4381399154663086,0.0,23.0,0,0,0,0,0,0,0,MCF2,3600,138,0,True,False,False,None,31,False
soybean-small_enc,5,23,0.5,0.6521739130434783,0.06916999816894531,0.0,15.0,0,0,0,0,0,0,0,CUT1,3600,138,0,False,False,False,None,1,False
soybean-small_enc,5,23,0.7083333333333334,0.8695652173913043,0.4770689010620117,0.0,20.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,2,False
soybean-small_enc,5,23,1.0,1.0,0.6072211265563965,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,3,False
soybean-small_enc,5,23,1.0,1.0,0.9100029468536377,0.0,23.000000000000004,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,4,False
soybean-small_enc,5,23,1.0,1.0,0.8359689712524414,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,5,False
soybean-small_enc,5,23,1.0,1.0,1.0242338180541992,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,6,False
soybean-small_enc,5,23,1.0,1.0,0.7609789371490479,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,7,False
soybean-small_enc,5,23,1.0,1.0,0.6866002082824707,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,8,False
soybean-small_enc,5,23,1.0,1.0,0.467771053314209,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,9,False
soybean-small_enc,5,23,0.8333333333333334,1.0,0.9072089195251465,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,10,False
soybean-small_enc,5,23,0.7916666666666666,1.0,0.8603110313415527,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,11,False
soybean-small_enc,5,23,0.7916666666666666,1.0,0.4336538314819336,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,12,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.8039112091064453,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,13,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.42708492279052734,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,14,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.4869239330291748,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,15,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.47214698791503906,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,16,False
